__v,_id,announcement,code,contestAdmin,createdAt,description,editorialLink,endsAt,invitationLink,name,solutionVisibility,startsAt,type,updatedAt
0,5b5c89ef30db8a0020962414, ,UNIVERSE,"[{""$oid"":""5b6d84eb2e9049002068df33""},{""$oid"":""5b6dcf5ce21df60020be63c4""}]",2018-07-28T09:51:19.754Z,Contest open for 5 year with playlists problems,,2023-07-28T03:30:00.000Z,,Universe,DURING,2018-07-28T03:30:00.000Z,UNRATED,2020-08-09T03:48:39.906Z
0,5b5ca6d47cf0b100209fe49a," Give your feedback here: <a href=""https://goo.gl/forms/PUTRfCJPftc9UTUj1"">https://goo.gl/forms/PUTRfCJPftc9UTUj1</a>",AUG18,5b5ca6857cf0b100209fe499,2018-07-28T11:54:36.229Z,36 hours long contest,http://arena.siesgst.ac.in/blog/5b684c2b9fa4e2002008f85e,2018-08-05T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5b6478c558d190002048aab8,August Queue,AFTER,2018-08-04T04:30:00.000Z,UNRATED,2018-08-04T10:01:00.744Z
0,5b5dc464e608dd0020ec2c73,"Give your feedback here: <a href=""https://goo.gl/forms/Gdo1j27AuHx659Lx1"">https://goo.gl/forms/Gdo1j27AuHx659Lx1</a>
<br><br>
Ratings will be changed within 48 hours after the contest ends.",SRM01,"[{""$oid"":""5b5d756037392f89933e7514""}]",2018-07-29T08:13:00.822Z,3 hour contest ,http://arena.siesgst.ac.in/blog/5b6f159e9bb13800202a58a9,2018-08-12T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5b6b2949e514980020065d0d,Single Round Match #01,AFTER,2018-08-11T13:30:00.000Z,RATED,2020-04-23T09:40:52.983Z
0,5b5dc4dce608dd0020ec2c74,"<center>
<b>01:40 PM</b>: Check your submission to see details about CE or RTE <br>
<b>12:28 PM</b>: In Problem D, all the numbers are in single line for each test <br>
Tips and Tricks for Python: <a href=""http://siesgstarena.herokuapp.com/blog/5b9fdc2ced703a001fe14f10"" target=""_blank"">Visit Here</a><br>
Tips and Tricks for C++: <a href=""http://siesgstarena.herokuapp.com/blog/5b9ea5f17fa8aa001fe32e46"" target=""_blank"">Visit Here</a><br>
Tips and Tricks for Java: <a href=""http://siesgstarena.herokuapp.com/blog/5b9e10bc21f9cc001fe9216e"" target=""_blank"">Visit Here</a><br>
</center>",SEPT18,5b66d36591c77d0020b63d0b,2018-07-29T08:15:00.437Z,36 hour long contest,http://arena.siesgst.ac.in/blog/5ba7c4e184a463001f96c670,2018-09-23T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5ba3b64996b924001f5afe6d,September Queue,AFTER,2018-09-22T04:30:00.000Z,RATED,2018-09-22T02:40:33.999Z
0,5b5dc535e608dd0020ec2c75,"First 4 submissions made at the start are rejudged.
",SRM03,5b6490e95969e7002076f330,2018-07-29T08:16:29.760Z,3 hour contest,http://arena.siesgst.ac.in/blog/5b97f0bb0570cd0020067f5a,2018-09-11T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5b8ff646b932db0020c1684f,Single Round Match #03,AFTER,2018-09-11T13:30:00.000Z,UNRATED,2020-03-26T00:27:57.319Z
0,5b5f23b909acb80020dcb1cb,"<b>Important</b>:<br>
There was a mistake encountered in setting of SRM02A and SRM02B. Points for Wrong Answer has been retracted. You can make submissions for SRM02A and SRM02B now. 
We apologise for the inconvenience. 
<br>
For SRM02A:
Output should have an exact precision of 2 digits after decimal.<br>
Constraints are 1 <= T <= 100000
",SRM02,5b5d752b37392f89933e7513,2018-07-30T09:12:01.844Z,3 hour contest,http://arena.siesgst.ac.in/blog/5b784bece2221500209ac8f2,2018-08-18T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5b71503a155c0000206d76fd,Single Round Match #02,AFTER,2018-08-18T13:30:00.000Z,UNRATED,2018-08-18T10:02:19.028Z
0,5b6d7c54b961cc0020dd5dea, ,SRM04,"[{""$oid"":""5b606d47e228ec0020a1fcf1""},{""$oid"":""5b607d4fe228ec0020a1fcf2""}]",2018-08-10T06:21:48.744Z,3 hour contest,http://arena.siesgst.ac.in/blog/5bafaa5b78d488002197d1ed,2018-09-29T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5bacf8f9b811e00021373ca0,Single Round Match #04,AFTER,2018-09-29T13:30:00.000Z,RATED,2018-11-05T02:02:56.337Z
0,5be5457a87cbe500218a98a3,"<!--<img src=""https://i.imgur.com/QV2OJaj.png"" width=""100%"">!-->
Scoring will be <b>100-200-300</b>.",SRM05,"[{""$oid"":""5b5d756b37392f89933e7515""}]",2018-11-09T02:59:46.071Z,3 hour contest,http://arena.siesgst.ac.in/blog/5c322df2a97ba60022317bfe,2019-01-06T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5c2f5dada6245d0022071a06,Single Round Match #05,AFTER,2019-01-06T13:30:00.000Z,RATED,2019-01-06T00:16:08.619Z
0,5be6a5517a6d6f0021c12b1c,"Scoring will be <b>100-200-250</b>. <br>
Know more about Black Mirror: Bandersnatch 
<a href=""https://www.netflix.com/in/title/80988062"">here</a>.",SRM06,"[{""$oid"":""5b6c6860746b5e0020a32aa7""}]",2018-11-10T04:00:57.120Z,3 hour contest,http://arena.siesgst.ac.in/blog/5c3b6d37b4920600229da70c,2019-01-13T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5c3788d2f647780022d5689d,Single Round Match #06,AFTER,2019-01-13T13:30:00.000Z,RATED,2019-09-10T03:03:44.222Z
0,5c1aa0c354c48b00218cb45d,"Register for Bytecamp 2019 here: <a href=""https://bytecamp19.hackerearth.com/"" target=""_blank"">https://bytecamp19.hackerearth.com/</a>",SRM07,"[{""$oid"":""5b659a0c64290b0020a95960""},{""$oid"":""5b6541b064290b0020a9594a""}]",2018-12-19T14:19:23.438Z,3 hour contest,http://arena.siesgst.ac.in/blog/5c4ddfa54191fd0022a7e228,2019-01-27T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5c4d412f4f66dc0022a58654,Single Round Match #07,AFTER,2019-01-27T13:30:00.000Z,RATED,2019-01-27T03:17:09.628Z
