problemId,C,C++,C++14,Go,Java,Javascript,Python,Python3
5b5c8cd7276e2200208fed62,65.0,50.0,16.0,5.0,27.0,,1.0,48.0
5b645f711b2cd40020b6c771,18.0,12.0,4.0,,14.0,,2.0,36.0
5b64600d1b2cd40020b6c772,3.0,7.0,2.0,,5.0,,,17.0
5b649819c0b1b80020eb30e1,12.0,16.0,5.0,,33.0,,1.0,40.0
5b6c3ec18cab100020e963b7,62.0,33.0,4.0,,23.0,4.0,2.0,24.0
5b6c3fc08cab100020e963b8,16.0,5.0,8.0,,8.0,,,16.0
5b6c42d08cab100020e963b9,14.0,16.0,6.0,,11.0,,1.0,29.0
5b714d3c155c0000206d76fc,5.0,4.0,4.0,,9.0,,,14.0
5b72e7f9750b6100209d9f12,50.0,15.0,16.0,,12.0,3.0,2.0,35.0
5b72f1a5750b6100209d9f13,5.0,5.0,3.0,,4.0,,,19.0
5b96a51f9808fa0020a42972,38.0,9.0,9.0,1.0,17.0,,,58.0
5b96a89fe701a900207872a6,2.0,,3.0,,12.0,,,20.0
5b96a9e0e701a900207872a7,,6.0,5.0,,2.0,,,5.0
5b9e444fc81946001f697c1d,,1.0,,,9.0,,,6.0
5b9e5804c81946001f697c1e,28.0,29.0,20.0,,21.0,,,14.0
5b9e5acec81946001f697c1f,10.0,13.0,9.0,,12.0,,,7.0
5b9e5d0dc81946001f697c20,18.0,17.0,10.0,,15.0,,,15.0
5b9e6068888c06001ffabf9b,7.0,21.0,5.0,,12.0,,,34.0
5bae773afda1fc0021bbf24a,35.0,13.0,11.0,,12.0,,,18.0
5bae7910fda1fc0021bbf24b,2.0,2.0,3.0,,5.0,,,10.0
5bae7e94fda1fc0021bbf24c,2.0,2.0,,,7.0,,,7.0
5c2c5ac54ed5920022b4ae89,1.0,3.0,,,1.0,,,6.0
5c2c5c6cec9f5000224eef12,,,4.0,,13.0,,,17.0
5c2c5e61ec9f5000224eef13,11.0,6.0,7.0,,10.0,,,18.0
5c2cd2eee3e5da002279017e,22.0,3.0,3.0,,5.0,,,16.0
5c2dadc092a9930022a9dc85,15.0,2.0,7.0,,7.0,,1.0,13.0
5c2daf4992a9930022a9dc86,6.0,,10.0,,3.0,,,4.0
5c39eca03646190022847c54,20.0,34.0,7.0,2.0,7.0,1.0,,32.0
5c39ed573646190022847c59,6.0,13.0,,1.0,2.0,,,21.0
5c39f0543646190022847c61,15.0,17.0,6.0,1.0,5.0,,,18.0
5c39f1023646190022847c62,12.0,1.0,,1.0,3.0,,,19.0
5c39f4af80aaed0022b63275,8.0,1.0,,,1.0,1.0,,20.0
5c4ae1bc91b74800225c106d,15.0,13.0,16.0,,6.0,,4.0,19.0
5c4ae2fd91b74800225c106e,3.0,7.0,1.0,,7.0,,3.0,5.0
5c506d5c3027fa0022016678,12.0,4.0,11.0,,11.0,,,6.0
5c506e743027fa0022016682,35.0,3.0,11.0,,13.0,,,18.0
5c5072073027fa002201668a,3.0,2.0,1.0,,3.0,,,9.0
5c7abbd75dfcc900221e1119,4.0,10.0,6.0,,5.0,,,3.0
5c7ac7bf5dfcc900221e112b,,4.0,,,,,,3.0
5c7ac9bc5dfcc900221e112d,,5.0,7.0,,,,,5.0
5c98eb0d16c4b60022cd52f0,,18.0,,,9.0,,,2.0
5c98edc316c4b60022cd52f1,1.0,10.0,4.0,,1.0,,,3.0
5c98f64b16c4b60022cd52f3,,7.0,1.0,,2.0,,,6.0
5c9b945e6769cb002257bcb5,,7.0,,,,,,1.0
5c9f2ade66d9c7002236765e,7.0,18.0,1.0,,8.0,,,15.0
5c9f3d52a9c6000022af0e05,1.0,3.0,3.0,4.0,12.0,,,17.0
5ca063dd08f90d00223749ea,,6.0,3.0,,1.0,,,11.0
5d3c780e7cb1120022007f29,21.0,20.0,7.0,,9.0,1.0,,29.0
5d3c81e87cb1120022007f2f,18.0,11.0,2.0,,3.0,,,20.0
5d3c84697cb1120022007f30,1.0,18.0,6.0,,4.0,,,31.0
5d3c94af7cb1120022007f38,13.0,19.0,4.0,1.0,8.0,,,16.0
5d3c981a7cb1120022007f39,4.0,12.0,3.0,,9.0,,,23.0
5d46f3ce86031f00223f4ce7,13.0,15.0,4.0,,4.0,,,30.0
5d46f62486031f00223f4ce8,,,1.0,,5.0,,,15.0
5d49981887a3d00022372d92,,2.0,2.0,,2.0,,,10.0
5d615f02ec3cc6002207e857,98.0,33.0,5.0,,28.0,,1.0,67.0
